Date,Open,High,Low,Close,Adj Close,Volume
2020-07-07,20.450001,20.650000,19.860001,19.879999,19.793621,6141600
2020-07-08,20.040001,20.670000,20.040001,20.559999,20.470665,4937100
2020-07-09,20.660000,20.790001,20.219999,20.299999,20.211798,5051000
2020-07-10,20.280001,20.490000,20.010000,20.450001,20.361147,2543700
2020-07-13,20.600000,20.700001,20.040001,20.040001,19.952925,5087200
2020-07-14,20.020000,20.400000,19.770000,20.320000,20.231709,4810000
2020-07-15,20.600000,21.040001,20.459999,20.740000,20.649883,5537800
2020-07-16,20.740000,20.740000,20.340000,20.400000,20.311363,4414200
2020-07-17,20.629999,20.990000,20.510000,20.790001,20.699669,4925400
2020-07-20,20.750000,21.059999,20.620001,21.049999,20.958536,4088100
2020-07-21,21.280001,21.690001,21.150000,21.400000,21.307016,6264900
2020-07-22,21.400000,21.570000,20.889999,21.139999,21.048147,4769800
2020-07-23,21.170000,21.200001,20.770000,20.879999,20.789276,3043900
2020-07-24,20.629999,21.110001,20.450001,20.719999,20.629971,4189400
2020-07-27,20.930000,21.690001,20.770000,21.580000,21.486233,4401600
2020-07-28,21.469999,21.969999,21.260000,21.420000,21.326929,4736900
2020-07-29,21.559999,22.090000,21.559999,22.059999,21.964149,4386600
2020-07-30,21.750000,22.000000,21.180000,21.500000,21.406580,6724400
2020-07-31,21.600000,21.660000,20.570000,20.730000,20.639929,7145200
2020-08-03,20.820000,21.030001,20.340000,20.650000,20.560276,5822800
2020-08-04,20.280001,20.660000,19.719999,20.020000,19.949678,5699500
2020-08-05,20.430000,20.469999,19.780001,20.139999,20.069254,5123900
2020-08-06,20.190001,20.600000,19.959999,20.420000,20.348270,3954200
2020-08-07,20.059999,20.740000,19.799999,20.290001,20.218727,7333800
2020-08-10,20.299999,20.650000,20.100000,20.459999,20.388130,4100300
2020-08-11,20.639999,20.809999,20.200001,20.200001,20.129045,3891800
2020-08-12,20.350000,20.600000,19.799999,20.100000,20.029398,6285800
2020-08-13,20.170000,20.389999,19.510000,19.510000,19.441467,5556200
2020-08-14,19.719999,19.860001,19.379999,19.670000,19.600906,3476800
2020-08-17,19.629999,19.629999,18.969999,19.150000,19.082733,4862400
2020-08-18,19.500000,19.660000,19.290001,19.420000,19.351786,4184100
